FEEC,ET621,Laboratório de Máquinas Elétricas,C,Segunda,14:00,18:00,LE13,Fernanda Caseno Trindade Arioli,"11, 41"
FEEC,ET621,Laboratório de Máquinas Elétricas,D,Segunda,14:00,18:00,LE13,Fernanda Caseno Trindade Arioli,"11, 41"
FEEC,ET621,Laboratório de Máquinas Elétricas,K,Quarta,14:00,18:00,LE13,Luiz Carlos Pereira Da Silva,11
FEEC,ET621,Laboratório de Máquinas Elétricas,L,Quarta,14:00,18:00,LE13,Luiz Carlos Pereira Da Silva,11
FEEC,ET621,Laboratório de Máquinas Elétricas,S,Sexta,14:00,18:00,LE13,Madson Cortes De Almeida,11
FEEC,ET621,Laboratório de Máquinas Elétricas,T,Sexta,14:00,18:00,LE13,Madson Cortes De Almeida,41
FEEC,ET720,Sistemas de Energia Elétrica I,U,Quarta,21:00,23:00,FE21,Daniel Dotta,41
FEEC,ET720,Sistemas de Energia Elétrica I,U,Quinta,19:00,21:00,FE21,Daniel Dotta,41
FEEC,EX056,Educação Interdisciplinar para a Transição Energética,A,Terça,14:00,16:00,FE01,"Julio Cesar Ferraz Amstalden, Luiz Carlos Pereira Da Silva",
FEEC,EX071,Literacia Digital Transformação Profissional : IA Cibersegurança ao A. Todos,A,Quarta,08:00,10:00,FE22,Paula Dornhofer Paro Costa,
FEM,EM014,Materiais Poliméricos,A,Segunda,14:00,16:00,CB07,Jose Luis Davila Sanchez,10
FEM,EM014,Materiais Poliméricos,B,Segunda,16:00,18:00,CB07,Jose Luis Davila Sanchez,10
FEM,EM035,Metrologia Industrial,A,Terça,14:00,16:00,LS06,Robert Eduardo Cooper Ordonez,
FEM,EM065,Modelamento de Máquinas e Estruturas,A,Terça,08:00,12:00,LM08,"Marco Lucio Bittencourt, Renato Pavanello",
FEM,EM074,Confiabilidade,A,Terça,19:00,21:00,EM20,Helio Fiori De Castro,"10, 49"
FEM,EM103,Metodologia de Pesquisa e Redação Científica,A,Quarta,14:00,16:00,CB03,Paulo Henrique Araujo Bezerra,10
FEM,EM104,Desenho Técnico Assistido por Computador,A,Segunda,21:00,23:00,PB04,Caio Henrique Rufino,"10, 49"
FEM,EM104,Desenho Técnico Assistido por Computador,A,Quarta,19:00,21:00,PB04,Caio Henrique Rufino,"10, 49"
FEM,EM120,Introdução à Prática de Extensão em Engenharia,A,Terça,19:00,21:00,PB02,Daniel Candeloro Cunha,"10, 49"
FEM,EM200,Desenho Assistido por Computador,A,Segunda,14:00,16:00,LM08,Caio Henrique Rufino,10
FEM,EM200,Desenho Assistido por Computador,B,Segunda,16:00,18:00,LM08,Caio Henrique Rufino,10
FEM,EM200,Desenho Assistido por Computador,C,Terça,14:00,16:00,LM08,Caio Henrique Rufino,10
FEM,EM200,Desenho Assistido por Computador,D,Terça,16:00,18:00,LM08,Caio Henrique Rufino,10
FEM,EM240,Estrutura e Propriedades dos Materiais,A,Quinta,10:00,12:00,CB15,Rubens Caram Junior,"10, 108"
FEM,EM240,Estrutura e Propriedades dos Materiais,A,Sexta,10:00,12:00,CB16,Rubens Caram Junior,"10, 108"
FEM,EM240,Estrutura e Propriedades dos Materiais,B,Quinta,10:00,12:00,PB01,Eder Socrates Najar Lopes,10
FEM,EM240,Estrutura e Propriedades dos Materiais,B,Sexta,10:00,12:00,PB01,Eder Socrates Najar Lopes,10
FEM,EM240,Estrutura e Propriedades dos Materiais,C,Terça,16:00,18:00,CB14,Kaio Niitsu Campo,10
FEM,EM240,Estrutura e Propriedades dos Materiais,C,Quinta,16:00,18:00,CB11,Kaio Niitsu Campo,10
FEM,EM306,Estática,A,Terça,19:00,21:00,EM25,Paulo Roberto Zampieri,"10, 49"
FEM,EM306,Estática,A,Sexta,21:00,23:00,EM25,Paulo Roberto Zampieri,"10, 49"
FEM,EM306,Estática,B,Quarta,16:00,18:00,CB08,Freddy Armando Franco Grijalba,"10, 49"
FEM,EM306,Estática,B,Sexta,16:00,18:00,EM30,Freddy Armando Franco Grijalba,"10, 49"
FEM,EM306,Estática,C,Quarta,16:00,18:00,CB09,Thales Freitas Peixoto,"10, 49"
FEM,EM306,Estática,C,Sexta,16:00,18:00,CB09,Thales Freitas Peixoto,"10, 49"
FEM,EM306,Estática,D,Terça,10:00,12:00,EM25,Paulo Roberto Zampieri,"8, 10"
FEM,EM306,Estática,D,Sexta,10:00,12:00,EM25,Paulo Roberto Zampieri,"8, 10"
FEM,EM312,Desenho Técnico,A,Sexta,08:00,12:00,PB12,Caio Henrique Rufino,9
FEM,EM312,Desenho Técnico,B,Sexta,19:00,23:00,PB12,Caio Henrique Rufino,"5, 11, 41, 50"
FEM,EM312,Desenho Técnico,C,Segunda,19:00,21:00,PB12,Caio Henrique Rufino,39
FEM,EM312,Desenho Técnico,C,Quarta,21:00,23:00,PB12,Caio Henrique Rufino,39
FEM,EM312,Desenho Técnico,D,Sexta,14:00,18:00,PB12,Caio Henrique Rufino,"5, 11, 41, 50"
FEM,EM335,Tecnologia Mecânica,A,Sexta,19:00,23:00,EM30,Milla Caroline Gomes,"10, 49"
FEM,EM360,Termodinâmica I,R,Terça,14:00,16:00,EM30,Felipe Ramos Coelho,10
FEM,EM360,Termodinâmica I,R,Quinta,14:00,16:00,EM30,Felipe Ramos Coelho,10
FEM,EM404,Dinâmica,A,Terça,16:00,18:00,PB07,Alberto Luiz Serpa,10
FEM,EM404,Dinâmica,A,Sexta,10:00,12:00,PB06,Alberto Luiz Serpa,10
FEM,EM404,Dinâmica,B,Terça,16:00,18:00,PB12,Diogo Stuani Alves,10
FEM,EM404,Dinâmica,B,Sexta,10:00,12:00,PB08,Diogo Stuani Alves,10
FEM,EM404,Dinâmica,C,Segunda,19:00,21:00,PB01,Jony Javorski Eckert,49
FEM,EM404,Dinâmica,C,Quarta,19:00,21:00,PB01,Jony Javorski Eckert,49
FEM,EM406,Resistência dos Materiais I,A,Quarta,14:00,16:00,CB15,Josue Labaki Silva,"8, 10, 49"
FEM,EM406,Resistência dos Materiais I,A,Sexta,14:00,16:00,CB15,Josue Labaki Silva,"8, 10, 49"
FEM,EM406,Resistência dos Materiais I,B,Quarta,14:00,16:00,CB07,Renato Pavanello,"8, 10"
FEM,EM406,Resistência dos Materiais I,B,Sexta,14:00,16:00,CB07,Renato Pavanello,"8, 10"
FEM,EM423,Resistência dos Materiais,A,Segunda,19:00,22:00,PB06,Euclides De Mesquita Neto,"41, 108"
FEM,EM423,Resistência dos Materiais,B,Sexta,14:00,17:00,PB05,Paulo Henrique Martins,34
FEM,EM423,Resistência dos Materiais,C,Segunda,14:00,17:00,PB02,Paulo Henrique Martins,108
FEM,EM460,Termodinâmica II,A,Segunda,10:00,12:00,PB05,Caio Henrique Rufino,10
FEM,EM460,Termodinâmica II,A,Quarta,10:00,12:00,PB05,Caio Henrique Rufino,10
FEM,EM460,Termodinâmica II,B,Segunda,10:00,12:00,PB02,Joaquim Eugenio Abel Seabra,10
FEM,EM460,Termodinâmica II,B,Quarta,10:00,12:00,CB10,Joaquim Eugenio Abel Seabra,10
FEM,EM460,Termodinâmica II,C,Segunda,10:00,12:00,EM25,Guilherme Crivelli Fraga,10
FEM,EM460,Termodinâmica II,C,Quarta,10:00,12:00,EM25,Guilherme Crivelli Fraga,10
FEM,EM461,Mecânica dos Fluidos I,A,Segunda,08:00,10:00,EM25,Denis Jose Schiozer,10
FEM,EM461,Mecânica dos Fluidos I,A,Quarta,08:00,10:00,EM25,Denis Jose Schiozer,10
FEM,EM461,Mecânica dos Fluidos I,B,Segunda,08:00,10:00,CB10,Erick De Moraes Franklin,10
FEM,EM461,Mecânica dos Fluidos I,B,Quarta,08:00,10:00,CB10,Erick De Moraes Franklin,10
FEM,EM461,Mecânica dos Fluidos I,C,Segunda,08:00,10:00,PB11,Bernardo Luiz Rocha Ribeiro,
FEM,EM461,Mecânica dos Fluidos I,C,Quarta,08:00,10:00,PB11,Bernardo Luiz Rocha Ribeiro,
FEM,EM503,Introdução aos Métodos Numéricos Aplicados à Engenharia,R,Terça,16:00,18:00,CB13,Marco Lucio Bittencourt,10
