Instituto,Disciplina,Turma,Dia da Semana,Horário Inicio,Horário Fim,Sala,Docentes
IB,BF483,BF483 A,Quinta,19:00,21:00,IB02,"Andre Schwambach Vieira, Cesar Renato Sartori, Everardo Magalhaes Carneiro, Helena Cristina De Lima Barbosa, Maria Cristina Cintra Gomes Marcondes"
IB,BG200,BG200 A,Quinta,14:00,16:00,IB16,Renato Vicentini Dos Santos
IB,BG200,BG200 B,Quarta,19:00,21:00,IB16,Renato Vicentini Dos Santos
IB,BG282,BG282 A,Quinta,10:00,11:00,IB15,Goncalo Amarante Guimaraes Pereira
IB,BG480,BG480 A,Quarta,14:00,16:00,IB01,"Louis Bernard Klaczko, Vera Nisaka Solferini"
IB,BG481,BG481 A,Segunda,21:00,22:00,IB03,Goncalo Amarante Guimaraes Pereira
IB,BG580,BG580 A,Terça,14:00,18:00,IB14,Vera Nisaka Solferini
IB,BG680,BG680 A,Terça,19:00,20:00,IB03,"Louis Bernard Klaczko, Vera Nisaka Solferini"
IB,BH127,BH127 A,Segunda,08:00,10:00,IB03,Luis Antonio Violin Dias Pereira
IB,BH282,BH282 A,Quarta,08:00,10:00,IB03,"Henrique Marques Barbosa De Souza, Marcelo Alves Da Silva Mori, Silvio Roberto Consonni"
IB,BH420,BH420 A,Quinta,14:00,15:00,IB02,Lucia Elvira Alvares
IB,BH482,BH482 A,Terça,19:00,21:00,IB12,"Henrique Marques Barbosa De Souza, Silvio Roberto Consonni"
IB,BH620,BH620 A,Segunda,19:00,20:00,IB01,Lucia Elvira Alvares
IB,BI214,BI214 A,Terça,14:00,16:00,IB16,"Fabio Trindade Maranhao Costa, Liana Maria Cardoso Verinaud"
IB,BL029,BL029 A,Segunda,21:00,22:00,IB14,"Ana Paula Couto Davel, Cristina Pontes Vicente, Fabio Montico, Ivana Elena Camejo Aviles, Lucia Elvira Alvares, Valeria Helena Alves Cagnon Quitete"
IB,BL031,BL031 A,Quarta,16:00,17:00,IB16,Clarice Weis Arns
IB,BL031,BL031 B,Quarta,19:00,20:00,IB12,"Clarice Weis Arns, Danilo Ciccone Miguel, Fabio Trindade Maranhao Costa, Jose Luiz Proenca Modena, Marcelo Brocchi, Patricia Jacqueline Thyssen, Silmara Marques Allegretti"
IB,BL035,BL035 A,Segunda,08:00,09:00,IB01,Eleonore Zulnara Freire Setz
IB,BL035,BL035 B,Quinta,19:00,20:00,IB13,Andre Rinaldo Senna Garraffoni
IB,BL037,BL037 A,Segunda,10:00,11:00,IB04,"Ana Paula Couto Davel, Cristina Pontes Vicente, Fabio Montico, Ivana Elena Camejo Aviles, Lucia Elvira Alvares, Valeria Helena Alves Cagnon Quitete"
IB,BL037,BL037 B,Segunda,21:00,22:00,IB15,"Ana Paula Couto Davel, Cristina Pontes Vicente, Fabio Montico, Ivana Elena Camejo Aviles, Lucia Elvira Alvares, Valeria Helena Alves Cagnon Quitete"
IB,BL583,BL583 A,Segunda,10:00,11:00,IB01,Eduardo Galembeck
IB,BL583,BL583 B,Segunda,21:00,22:00,IB12,Eduardo Galembeck
IB,BL600,BL600 A,Segunda,16:00,18:00,IB16,Ana De Medeiros Arnt
IB,BL600,BL600 B,Segunda,19:00,21:00,IB04,Ana De Medeiros Arnt
IB,BM215,BM215 A,Quinta,14:00,16:00,IB04,Clarice Weis Arns
IB,BM415,BM415 A,Quarta,08:00,10:00,IB12,"Cristina Elisa Alvarez Martinez, Jose Luiz Proenca Modena, Rogério Ferreira Lourenço"
IB,BP223,BP223 A,Segunda,14:00,16:00,IB15,"Adriano Cappellazzo Coelho, Danilo Ciccone Miguel, Fernanda Janku Cabral, Patricia Jacqueline Thyssen, Selma Giorgio, Silmara Marques Allegretti"
IB,BP670,BP670 A,Terça,14:00,16:00,IB15,Patricia Jacqueline Thyssen
IB,BP820,BP820 A,Sexta,19:00,20:00,IB03,"Adriano Cappellazzo Coelho, Danilo Ciccone Miguel, Fabio Trindade Maranhao Costa, Fernanda Janku Cabral, Patricia Jacqueline Thyssen, Selma Giorgio, Silmara Marques Allegretti"
IB,BS201,BS201 A,Quarta,08:00,10:00,IB02,"Fabio Montico, Marco Cesar Somazz, Paulo Henrique Ferreira Caria, Sergio San Juan Dertkigil, Wagner Jose Favaro"
IB,BS202,BS202 A,Segunda,10:00,12:00,IB02,"Luis Antonio Violin Dias Pereira, Mario Henrique Bengtson, Silvio Roberto Consonni"
IB,BS203,BS203 A,Segunda,08:00,10:00,IB02,"Andre Schwambach Vieira, Claudio Chrysostomo Werneck, Eneida de Paula, Everardo Magalhaes Carneiro, Helena Cristina De Lima Barbosa, Licio Augusto Velloso, Marcelo Bispo De Jesus, Maria Andreia Delbin, Maria Cristina Cintra Gomes Marcondes, Paulo Guimaraes Gandra"
IB,BS215,BS215 A,Segunda,08:00,12:00,IB12,"Alexandre Leite Rodrigues De Oliveira, Ana Paula Couto Davel, Claudia Herrera Tambeli, Dora Maria Grassi Kassisse, Elaine Minatel, Everardo Magalhaes Carneiro, Helena Cristina De Lima Barbosa, Maria Cristina Cintra Gomes Marcondes, Mario Henrique Bengtson, Valeria Helena Alves Cagnon Quitete"
IB,BS280,BS280 A,Terça,08:00,10:00,IB15,Claudia Herrera Tambeli
IB,BS313,BS313 A,Quarta,21:00,23:00,IB12,"Clarice Weis Arns, Cristina Pontes Vicente, Danilo Ciccone Miguel, Elizabeth Bilsland, Hernandes Faustino De Carvalho, Marcelo Brocchi, Murilo Vieira Geraldo, Patricia Jacqueline Thyssen, Silmara Marques Allegretti"
IB,BS340,BS340 A,Quarta,14:00,16:00,IB02,"Fabio Trindade Maranhao Costa, Liana Maria Cardoso Verinaud"
IB,BS420,BS420 A,Quarta,08:00,12:00,IB01,"Adriano Cappellazzo Coelho, Angelica Zaninelli Schreiber, Danilo Ciccone Miguel, Fabio Trindade Maranhao Costa, Fernanda Janku Cabral, Marlene Tiduko Ueta, Patricia Jacqueline Thyssen, Selma Giorgio, Silmara Marques Allegretti"
IB,BS430,BS430 A,Quinta,16:00,18:00,IB12,"Jose Luiz Proenca Modena, Mariangela Ribeiro Resende"
IB,BS456,BS456 A,Quinta,19:00,22:00,IB15,"Andre Rinaldo Senna Garraffoni, Andre Victor Lucci Freitas, Eleonore Zulnara Freire Setz, Flavio Dias Passos, Gustavo Quevedo Romero, Ingrid Koch, Juliana Lischka Sampaio Mayer, Luis Felipe De Toledo Ramos Pereira, Rafael Vasconcelos Ribeiro, Samantha Koehler"
IB,BS615,BS615 A,Sexta,14:00,16:00,IB13,Carmen Verissima Ferreira Halder
IB,BS681,BS681 A,Quinta,14:00,15:00,IB15,"Alexandre Leite Rodrigues De Oliveira, Andre Schwambach Vieira, Elaine Minatel, Marcelo Alves Da Silva Mori, Paulo Henrique Ferreira Caria"
IB,BT201,BT201 A,Quinta,09:00,11:00,IB13,"Bruno Garcia Luize, Ingrid Koch, Mario Ribeiro de Moura"
IB,BT201,BT201 B,Terça,19:00,21:00,IB04,"Bruno Garcia Luize, Ingrid Koch, Mario Ribeiro de Moura"
IB,BT285,BT285 A,Sexta,14:00,16:00,IB03,"Maria Fernanda Aguiar Calio, Samantha Koehler"
IB,BT285,BT285 B,Quinta,19:00,21:00,IB12,"Maria Fernanda Aguiar Calio, Samantha Koehler"
IB,BT330,BT330 A,Terça,14:00,16:00,IB02,"Andre Olmos Simoes, Juliana Aparecida Fracarolli, Marcelo Carnier Dornelas, Rafael Vasconcelos Ribeiro, Sandra Maria Carmello Guerreiro, Sara Adrian Lopez De Andrade"
IB,BT485,BT485 A,Sexta,14:00,16:00,IB01,"Andre Olmos Simoes, Ingrid Koch, Maria Do Carmo Estanislau Do Amaral"
IB,BT485,BT485 B,Sexta,19:00,21:00,IB01,"Andre Olmos Simoes, Maria Do Carmo Estanislau Do Amaral"
IB,BT582,BT582 A,Quarta,09:00,12:00,IB15,Ingrid Koch
IB,BT595,BT595 A,Quinta,14:00,15:00,IB14,Sandra Maria Carmello Guerreiro
IB,BT597,BT597 A,Terça,08:00,09:00,IB16,"Cleber Juliano Neves Chaves, Ingrid Koch, Juliana Lischka Sampaio Mayer"
IB,BT681,BT681 A,Segunda,14:00,16:00,IB03,"Anete Pereira De Souza, Maria Do Carmo Estanislau Do Amaral, Peter Stoltenborg Groenendyk, Sara Adrian Lopez De Andrade"
IB,BT681,BT681 B,Segunda,19:00,21:00,IB15,"Anete Pereira De Souza, Maria Do Carmo Estanislau Do Amaral, Peter Stoltenborg Groenendyk, Sara Adrian Lopez De Andrade"
IB,BT885,BT885 A,Segunda,19:00,22:00,IB13,"Ingrid Koch, Thaís Barreto Guedes da Costa"
IB,BV481,BV481 A,Quinta,08:00,10:00,IB01,"Rafael Vasconcelos Ribeiro, Sara Adrian Lopez De Andrade"
IB,BV586,BV586 A,Terça,14:00,15:00,IB03,Marcelo Carnier Dornelas
IB,BV587,BV587 A,Terça,09:00,10:00,IB02,Marcelo Carnier Dornelas
